job_title,state,avg_salary
Search Consultant (Recruiter),SD,170000.0
"Data Architect, Corporate Consumer Products (Irwin, ER Studio)",IL,132500.0
House Manager,TX,0.0
"MST, Certified Nursing Assistant 12 Hr",CA,0.0
PT - Sales Associate - Millwork,DE,0.0
Field Swing,MI,0.0
Real Estate Agent (Considering Real Estate for the First Time),MS,0.0
C N A,CO,0.0
(K661) Administrative Assistant,MN,0.0
SMT Operators,OH,15.0
Navigator - Bilingual Education Center,TX,0.0
Auto RV Lot Attendant Porter,AZ,0.0
Construction Superintendent,OK,0.0
"Warehouse Associate, Nights Sun-Wed 6:30pm- 5am, PT – Macys’ Supply Chain: Portland, TN",TN,0.0
Senior Process Engineer - Beaumont Refinery 1,TX,0.0
"Program Manager, Information Technology",CA,0.0
Full-time Amazon Warehouse Work,OH,0.0
Substance Abuse Counselor - SUDC,UT,0.0
Store Associate,SC,0.0
Executive VP of Client Services,AZ,0.0
Prep Cook,PA,0.0
Warehousing Worker (Day shifts),NJ,0.0
Security Officer - Overnights - Must have TWIC/DL,TX,0.0
Store Lead,IN,0.0
Quality Assurance Inspector III,PA,0.0
"Material Handler - Auburn, MI",MI,0.0
FT - Head Cashier,VA,0.0
Bilingual Hmong/English Phone/Video Interpreter,AZ,0.0
Public Finance Attorney,FL,0.0
VP of Enterprise Applications Development,MA,0.0
User Research Manager,NC,0.0
Senior ServiceNow Director,TX,0.0
Class A CDL - Over-the-Road (OTR) Tanker Truck Driver,WI,0.0
Full-time Amazon Warehouse Worker,RI,0.0
"Amazon Prime Now Shopper Earn $15/hr or more in Winchester, MA",MA,0.0
**Full Time Packers Days or Nights ** Immediate Openings,DE,10000.0
Urgent Data Entry Clerk,KY,22.5
Busser,NC,0.0
Warehouse Team Member (Full-Time Seasonal),CO,0.0
"Registered Nurse (RN) Plainville, CT 7.5 hrs Weekly",CT,0.0
***IMMEDIATE MEDICAL ASSISTANT NEEDED***,UT,0.0
CDL Class A Truck Driver Tempe AZ,AZ,0.0
Manufacturing Positions,KS,0.0
Retail Specialist,NC,0.0
Government Underwriter 3 (Remote),MI,0.0
Part Time - Sales Associate - Chalmette Store,LA,0.0
Warehouse Attendant - Earn up to $18.80 per hour,WA,0.0
UX/UI Manager,IL,62.5
"Registered Nurse - Neuro OR - $20,000 Sign On Bonus",CA,0.0
Amazon Shopper,MA,0.0
Chrysler - Security Officer,MN,0.0
Food Service Supervisor - Milwaukee County,WI,0.0
"Truck Driver, Class A - Full Time",OH,0.0
Retail Merchandiser,PA,12.75
CUSTOMER SERVICE REPRESENTATIVE,VA,0.0
Forklift Operator - H,NC,0.0
Desktop Technician,MI,0.0
Amazon Picker/Packer,IL,0.0
Amazon Shopper - Flexible Schedule,NJ,0.0
FT - Receiver/Stocker - Day,NY,0.0
To Go Specialist,OK,0.0
Help Desk Technician lvl1,MN,16.5
CDL A Truck Driver - Quarterly Safety Bonus,AZ,0.0
Warehouse Team Member (Day and Night Shifts Available),WA,0.0
Amazon Warehouse Operator (Full-Time),PA,0.0
Scrum Master/Project Manager,NC,0.0
Immediate 1st shift Positions in The Lowell Area,MI,0.0
Warehouse Team Member (Different Shifts Available),MI,0.0
Warehouse Handler (Immediate Openings) - Earn up to $15.5/hr,MD,0.0
Amazon Warehousing Worker (Immediate Openings) - Earn $15/hr or more,RI,0.0
Seasonal Sales Associate,OH,0.0
Online Order Shopper (Seasonal/ Part-Time/ Flexible Hours),MI,0.0
Director of Project Management,FL,100000.0
Employee Benefits Account Executive,TX,0.0
Security Officer Merrimack Premium Outlets,NH,0.0
Head of Process Engineering,WI,0.0
RN & LPN / Per diem / Assisted Living / NO COVID19,KS,0.0
"RN, Registered Nurse - Observation Care Center",TX,0.0
"Project Executive- Mechanical Construction, MEP! (Indianapolis)",IL,0.0
Jr. Epidemiologist / Analyst (Public Health Surveillance System),GA,0.0
Labor and Employment Partner Attorney,AZ,0.0
Public Mobile Notary / Remote,TX,0.0
Warehouse Worker (Immediate Opening),MI,0.0
QC Lab Technician,FL,16500.0
Human Resources Expert,NJ,0.0
NSDUH Part-Time Field Representative,AR,0.0
Printer Technician,OR,0.0
"Histotechnologist II - CA- West Hills, CA req43378",CA,0.0
Warehouse Clerk,WA,0.0
Technical Instructor,CA,0.0
Professional Land Surveyor - Indiana,IN,0.0
Prime Now Shopper Immediately Hiring Earn up to$15.00/hr or more in Sudbury MA,MA,0.0
Human Resources (Hr) Generalist,IL,65000.0
Amazon Warehouse Associate - FT,KY,0.0
92A Automated Logistical Specialist - Supply Chain,AL,0.0
Regional VP Vertical Markets,CA,0.0
Regional CDL A Truck Driver Job - Average $77-$82K per year!,TN,0.0
Medical Technologist,NY,0.0
Seasonal Receiver/Stocker Overnight,OK,0.0
VP Diversity & Inclusion Strategic Engagement,MA,0.0
Graduate Academic Advisor,VA,0.0
Amazon Warehouse Associate - Weekend Shifts Available,IN,0.0
Security Officer,OH,0.0
Route Driver,TX,0.0
Shopper Team Member,MD,0.0
"Entry Level Manufacturing - Ecru, MS",MS,0.0
Registered Nurse (RN),FL,33466.0
Instructional Designer – 6 month contract - $48/hr.,MA,24.0
Bilingual Parts Delivery,LA,0.0
"Application Engineer - Automotive Embedded Systems (AUTOSAR) - 8600 (Novi, MI)",MI,0.0
Bilingual Taiwanese/English Phone/Video Interpreter,LA,0.0
business systems analyst,FL,0.0
11B Infantryman - Management Training,WA,0.0
Amazon Warehouse Attendant (Earn $15/hr or More),IN,0.0
Superintendent (Commercial Glass and Glazing),AZ,95000.0
Electrical Engineer,TN,0.0
Certified Nurse Assistant - CNA,IL,0.0
Caregiver,OH,0.0
"Home Health Nurse - Rockwall, TX (75087)",TX,0.0
Live Chat Specialist -$18.70/Hour- (Full Time or Part Time) Work from home/Virtual/Telecommute,RI,0.0
Clinical Nurse Manager Med Surg,FL,0.0
Fuel Cashier,SC,0.0
Electricians and Electrical Apprentices needed,GA,19.5
Shopper Team Member - Earn $16.40 /hr,CA,0.0
"Supervisor, Operations",MA,0.0
Financial Controls and Oversight Consultant - Quality Assurance,NC,0.0
"Restaurant Manager in Graniteville, SC",SC,0.0
FT - Loader/Cart Associate - Loaders (Commercial Sales),PA,0.0
John Deere Parts Manager,MN,0.0
FT - Sales Floor Dept Supervisor- Flooring-Décor - Day,MI,0.0
"STAFF RN, PER DIEM - BEHAVIORAL HEALTH",NV,0.0
FPGA Engineers (Multiple Locations),MD,0.0
Shift Supervisor without Premium - Burger King #01640,MS,0.0
ServiceNow Developer - US Citizenship required; Will sponsor Secret clearance,DC,0.0
Analyst,DC,0.0
Loan Processor,MN,19.66
Porter,VA,0.0
HR Coordinator,GA,0.0
Opener/Closer - Burger King #00612,MI,0.0
Class A CDL - Over-the-Road (OTR) Tanker Truck Driver,AL,0.0
Amazon Warehouse Assistant (Full-Time),MN,0.0
Collections Associate,CA,15.0
Commercial Insurance Producer,WY,100000.0
Mortgage Loan Underwriters,AZ,37.5
Outpatient Licensed Practical Nurse Internal Medicine Flormann Clinic Rapid City Full Time,SD,0.0
ELECTRICAL / ELECTRICIAN CAREER TRAINING - LOCAL ELECTRICAL TRAINING AVAILABLE,FL,0.0
FT - Merchandising Service Associate,OK,0.0
Cashier-Food Service Worker,TN,0.0
PCA - Personal Care Attendant,MO,0.0
Customer Engineer,WI,67400.0
LPN,KY,0.0
Senior Java Developer/Technical Lead,NC,0.0
Machine Operator,KY,14.5
Public Mobile Notary / Remote,KS,0.0
Warehouse Workers Needed: $14-16/hr!!,CO,0.0
Freelance Job Promoter,MD,0.0
Speech Therapist (SLP) Travel Job,PA,0.0
Amazon Order Picker - Immediate Hire,KY,0.0
Warehouse Laborer - Early Morning Shifts Available,CA,0.0
Now Hiring a General production worker! $15-16/hr,IA,15.5
NOW HIRING!! Cherry Pickers,CA,15.25
25N Nodal Network Systems Operator-Maintainer,NY,0.0
Communications Specialist,CT,50000.0
Amazon Warehouse Associate,MO,0.0
DIRECTOR OF FORMULATION DEVELOPMENT,CA,0.0
Maintenance Person (Construction Project),UT,0.0
Commercial Sales Professional,MD,0.0
Civil Engineer,IL,12.5
Retail Coverage Merchandiser – Walmart,NH,0.0
Medical Front Office - Milstead/Fettler,VA,0.0
PT - Sales Associate - Tool World,SC,0.0
Life Insurance Sales,FL,175000.0
Entry Level Diesel Technician (Apprentice),WI,28.0
Bilingual Khmer/English Phone/Video Interpreter,KY,0.0
Electrician II,VA,25.11
Warehouser (Immediate Opening),CA,0.0
Service Desk Technician I,PA,0.0
"Inpatient Psychiatric Nurse Practitioner, Per Diem- Community Medical Group",MD,0.0
Program Finance Analyst,FL,0.0
Security Guard,PA,0.0
Technical Consultant,MD,0.0
Amazon Warehousing Worker (Seasonal),WI,0.0
CAD Designer / Senior Design Engineer,MI,0.0
"Director, Group Operations",CA,0.0
Amazon Warehouse Sorter (Stoughton - MA),MA,0.0
FT - Sales Associate - Building Materials,OH,0.0
Nurse Assistant - Cardiovascular IMCU,IN,16.134999999999998
Sales Associates,FL,0.0
Tunneling Engineer ( Underground Infrastructure),AZ,0.0
Port Dispatcher,TX,15.5
Amazon Warehouse Associate - Full-time Overnight Shifts Available,MA,0.0
Shift Supervisor with Premium - Burger King #01255,MD,0.0
Registered Nurse- Future Opening,CA,0.0
Future Housekeeping Opportunities (Miami),FL,0.0
Bilingual Registered Nurse,NY,0.0
Seasonal Retail Associate,CA,0.0
Physical Therapist,MA,77500.0
Bilingual Hmong/English Phone/Video Interpreter,NE,0.0
Audit Manager,CT,0.0
Truss Salesman,GA,0.0
Warehouse Handler - Earn $16.75/hr or More,CA,0.0
Clinical Pharmacist,NC,0.0
FEP Lead Software Engineer,VA,0.0
PT - Delivery Coordinator - Flexible,FL,0.0
Warehousing Worker - Overnight Shifts Available,IN,0.0
Amazon Warehouse Laborer (Stoughton - MA),RI,0.0
Senior Estimator - Civil Construction,AR,0.0
Disability Representative,IN,0.0
"Wealth Management, Financial Advisor, Trust Officer",IA,115000.0
Support Analyst,TN,0.0
Account Manager Empire for Business,CO,0.0
Amazon Warehousing Worker (Immediate Openings) - Earn $15/hr or More,MI,0.0
Security Guard – Hiring Immediately!,CA,0.0
Controls Engineer - PLC Programmer,FL,0.0
"Now Hiring! Customer Care Representative - Broomfield, CO",CO,14.0
Commercial Enrollment Specialist,TX,0.0
Senior Mechanical Design Engineer,MD,105000.0
Employee Relations Consultant-Time Away,CO,0.0
RealPage System Administrator,MD,0.0
Certified Nursing Assistant (C.N.A) 2nd Shift (3pm - 11pm)- Sign On Bonus Potential!,GA,0.0
Associate Engineer Account Manager,GA,0.0
DC Associate $12.50 per hour,VA,0.0
Bilingual Navajo/English Phone/Video Interpreter,CT,0.0
Business Initiatives Consultant 3 / Data Initiatives Consultant,NC,0.0
Personal Lines Account Manager,NY,0.0
Caregiver - FULL TIME,TX,0.0
Mobile Notary / Nationwide / Flexible Schedule / Earn A 6-Figure Income,CO,0.0
Manager Projects and Analytics,NJ,0.0
"HHAs & CNAs Home Health Aides, Live-in Aides, & Certified Nursing Assistants",NJ,0.0
Part Time Handler (Non DOT)/Warehouse (AM/PM Split Shift) MUST work both shifts $13.92 per hour-6:30 AM to 8:30 AM and 7:15 PM t,FL,0.0
Amazon Warehouse Attendant Earn $15/hr or More,WI,0.0
"Sr. Manager, Quality Assurance Pharma",NJ,0.0
Civil Project Manager- Construction Job,AL,0.0
Commercial Drywall Project Manager,TX,97500.0
IT Senior Internal Auditor,FL,0.0
RN-Tele-FT-$12K Retention Bonus,AZ,0.0
Neuro ICU RN Full Time; 7p-7a 15k sign on bonus,GA,0.0
Inside Sales,TX,0.0
MLT-Lab/Core,NC,0.0
CUSTOMER SERVICE REPRESENTATIVE,WY,0.0
LPN - Licensed Practical Nurse-Part Time,MA,0.0
Bilingual Store Counter Sales,OR,0.0
Human Resources Intern,OH,0.0
Biologist,CT,0.0
Clinic Medical Assistant - Primary Care,WA,0.0
FT - Sales Floor Dept Supervisor- Hardware-Tools,CO,0.0
Seasonal Warehouse Operator(Seasonal/Part-Time/Full-Time/Flexible Hours),IL,0.0
Bilingual Apache/English Phone/Video Interpreter,NC,0.0
ELECTRICAL / ELECTRICIAN CAREER TRAINING - LOCAL ELECTRICAL TRAINING AVAILABLE,TX,0.0
Retail Management - Virginia Central and Surrounding Area,VA,0.0
Dumper,CA,0.0
Warehouse Operator (Immediate Openings) - Earn $15/hr or more,RI,0.0
FT - Delivery Coordinator,NC,0.0
Document Review Clerk,OH,0.0
Team Member - Burger King #00437,OH,0.0
"LHI - Case Care Coordinator - La Crosse, WI or US Telecommute",AZ,0.0
Amazon Prime Now Shopper - Earn $15/hr or more in Saint Paul,WI,0.0
Manufacturing Operator,PA,15.5
Team Member (F),IN,0.0
Amazon Warehouse - part time,IL,0.0
Armed Security Flex Officer,FL,0.0
Dishwasher,VA,0.0
Licensed Practical Nurse,WV,0.0
Night Shift Team Member - Burger King #00964,VA,0.0
Bartender,MN,0.0
Warehouse Agent - Earn up to $20.40/hr,CA,0.0
amazon warehouse associate – part time,IN,0.0
Operations Manager,GA,0.0
Nursing Assistant,NJ,0.0
Care Team Associate Float Pool - OU Medical Center - PRN,OK,0.0
"Weekend 6a-6:30p 12 hour shift Power Equipment Operator Fri, Sat & Sunday 3 x 12",WV,0.0
Solar Sales Advocate,CA,0.0
Warehouse Lead,CA,22.0
DI generic Lead,IL,0.0
Front Desk Coordinator,CA,17.4875
Wireless Sales Expert (PT) - Inside Costco,GA,0.0
Bilingual Khmer/English Phone/Video Interpreter,TN,0.0
Bilingual Chin Matu/English Phone/Video Interpreter,KY,0.0
Amazon Warehouse Worker - Different Shifts Available,OR,0.0
Facilities Janitorial Assistant/Landscaper,PA,13.0
Cashier (Customer Service Representative)- Retail Sales,WI,0.0
Material Handler- Twin Falls,ID,0.0
"Subject Matter Expert, Senior/Network Administrator",VA,0.0
Maintenance Mechanic,WI,0.0
FT - Head Cashier,GA,0.0
Amazon Warehouse Assistant Immediate Opening - Earn $15.20/hr or more,WA,0.0
92A Automated Logistical Specialist - Supply Chain,IN,0.0
ASSISTANT STORE MANAGER,TN,0.0
Java Developer,DC,0.0
Lead Software Engineer,NC,0.0
Amazon Warehouse Operator  (Seasonal/ Part-Time/ Full-Time/ Flexible Hours),IN,0.0
Staff RN Per Diem - Postpartum,TX,0.0
Mid-level Attorneys,TX,0.0
Registered Nurse (RN) Home Health Weekend shifts,NC,0.0
Warehouse Agent - earn $17 or more,NJ,0.0
Bilingual Chin Tedim/English Phone/Video Interpreter,AR,0.0
Business Analyst,DC,0.0
CSL | Jobs and Careers,IL,0.0
Amazon Warehouse Operator (Immediate Openings) - Earn up to $$15.00 -$16.00 per hour/hr,NH,0.0
Restaurant General Manager,PA,0.0
Opener/Closer - Burger King #01203,VA,0.0
Assembler - Level 1 - 2nd Shift,RI,0.0
"MULTI-PURPOSE CLERK II - 4725 Quail Lakes Dr., Stockton, CA 95207",CA,0.0
Street Technician,NV,12.0
Chauffeur(m/w/d) im Raum Raunheim (m/w/d)) – 25€ pro Stunde dazuverdienen!,KS,0.0
Amazon Prime Now Shopper (Seasonal/ Part-Time/ Flexible Hours),NH,0.0
Stacker Operator - (10788),MN,0.0
Bilingual Chuukese/English Phone/Video Interpreter,KY,0.0
Senior Accountant - 100% Remote!,VA,0.0
Physical Therapist Assistant (PTA),CO,0.0
US_East | Platform Lead PCF - CGEMJP00039030,PA,0.0
Warehouse Laborer - Earn $15/hr or more,PA,0.0
Shift Supervisor Trainee - Burger King #00921,PA,0.0
Vestas is hiring FORKLIFT OPERATORS! $17-21/HR + $1000 Bonus,CO,19.0
"Associate Install Technician - Moriane, OH",OH,0.0
Senior Mechanical Engineer-HVAC/Fire Protection,GA,0.0
PhD Scientist- Virology,MD,55000.0
Warehouser - Earn up to $18.75 - Part-Time - Early Morning Shifts Available,MN,0.0
Warehouse Handler - Earn $17.75/hour,NJ,0.0
Physical Therapy Aide,ID,0.0
Jr. Project Manager/Project Coordinator - (Must Be Local),CA,0.0
Bilingual Taiwanese/English Phone/Video Interpreter,MI,0.0
"Field Locator-Prairieville-Lafayette, LA",LA,0.0
RN,CO,0.0
Data Entry II,WI,0.0
841-NURSING DEPT MANAGER,MD,0.0
Security Shift Supervisor- Armed -Part Time-DoD Cleared,VA,0.0
Commercial Line Account Manager,WA,0.0
Bilingual Taiwanese/English Phone/Video Interpreter,NM,0.0
STRATEGIC INITIATIVE DIRECTOR,NY,0.0
Inspector,MN,0.0
Inventory Associate - 2031,IA,0.0
Warehouse Worker Immediate Opening - Earn up to $16.45,WA,0.0
BARTENDER,TN,0.0
Senior Financial Analyst,CA,0.0
Process Operator,MN,15.5
Training Specialist,NJ,0.0
Porter - Burger King #01606,MS,0.0
Programmer Analyst/.net developer,GA,20.0
Physical Therapy Technician,AZ,0.0
ETL Informatica Developer,MN,52.5
FT - Head Cashier,UT,0.0
Resident Care Coordinator,MA,0.0
Amazon Warehouse - Earn $17.25/hr,CA,0.0
DevOps with Terraform,GA,0.0
Groundskeeper- Immediate Hire!,TX,0.0
Electronics Tech Maintenance I,VA,0.0
11B Infantryman - Management Training,MN,0.0
Amazon Warehouse Operator - Immediate Openings,CA,0.0
"Manager, Service Excellence and Patient Experience - Healthcare - Dallas, TX",TX,0.0
Estimator (Commercial Glass & Glazing),MO,107500.0
Warehouse Team Member - Earn $17.25/hr,CA,0.0
Technical Business Analyst,IL,0.0
LINE COOK,FL,0.0
Resident Care Aide,WA,0.0
Temporary Unit Aide,WV,0.0
Amazon Prime Now Shopper (Immediate Opening) - Earn $16/hr or more,CA,0.0
Amazon Warehouse Assistant - Multiple Shifts Available,MD,0.0
Territory Sales Manager,OH,0.0
Sales Representative,IN,147500.0
Grill / Prep Cook,MS,0.0
FT - Sales Floor Dept Supervisor- Inside Garden - Day,FL,0.0
Purchasing Coordinator,CA,0.0
Salesperson,NC,0.0
Warehouse Team Member- West Deptford,PA,0.0
Opener/Closer - Popeyes - Popeyes #30125,MS,0.0
Cashier (Customer Service Representative)- Retail Sales,PA,0.0
Client Service Coordinator - 001760,GA,0.0
Sales Supervisor,AL,0.0
Senior Accountant,NC,23333.333333333332
"Collector, Drug & BA Testing - (PRN) - ExamOne/Albuquerque, NM area",NM,0.0
FT - Receiver/Stocker - Overnight,AZ,0.0
Armorer Support (Secret Clearance) - Pope Field,NC,0.0
Warehouse Laborer (Part-Time),CO,0.0
2nd Shift Packaging Operator,FL,11.0
HUC/Registrar,CT,0.0
amazon picker/packer – part time,IN,0.0
Amazon Prime Now Shopper - Start Earning,MA,0.0
Amazon Warehouse Assistant (Immediate Openings) - Earn up to $$15.00 -$16.00 per hour/hr,MA,0.0
"Prime Now Shopper (Fremont, CA) - Earn $15/hr or more",CA,0.0
Bilingual Chin Tedim/English Phone/Video Interpreter,NC,0.0
Marketing Coordinator 3,PA,0.0
Amazon Prime Now Shopper (Seasonal/ Part-Time/ Flexible Hours),MI,0.0
Maintenance Technician,IL,10250.0
Medical Laboratory Scientist (PRN),TX,0.0
Fast Food Crew Member - Taco Bell,PA,0.0
Healthcare – CNA,KY,0.0
Home Health Infusion Nurse - Hemet / Lake Elsinore,CA,0.0
"Phlebotomist I - Bellingham, WA req42308",WA,0.0
STAFF RN - Lab GI,MO,0.0
ONLINE MEDICAL ASSISTANT CAREER TRAINING - LEARN FROM HOME,NM,0.0
Part-time Lab Aide Accession Area,PA,0.0
FT - Receiver/Stocker - Overnight,OH,0.0
Community Nurse (RN/LPN),MO,0.0
Pest Control Technician,FL,0.0
Accounts Payable Specialist,MD,18.0
Commercial Lines Account Manager,MD,75000.0
Account Manager,FL,0.0
RETAIL/RESET MERCHANDISER PART TIME,CA,0.0
Social Services Specialist I,ME,0.0
Director of Mental Health and Wellness,TX,0.0
Onsite Operations/Account Manager,IL,0.0
Staff RN - Good Samaritan Hospital ICU - Sign on bonus eligible - $20K loan forgiveness,WA,0.0
Schedule Planner,IA,0.0
Server,FL,0.0
Installer Apprentice *INTERVIEWING IMMEDIATELY*,IL,0.0
Info Security Engineer 5,AZ,0.0
Data Scientist,CA,0.0
Store Driver,CA,0.0
Pharmaceutical Business Development Vice President,MN,0.0
"Amazon Order Picker/Packer - Immediate Hire, PT - Flexible",IN,0.0
Bilingual Khmer/English Phone/Video Interpreter,SC,0.0
Amazon Warehouse Attendant - Immediate Openings,CA,0.0
Production Worker 2nd shift,KS,12500.0
Staff RN - Med/Surg/Tele,MO,0.0
